1,0.161,no_rotation
2,0.163,no_rotation
3,0.164,no_rotation
4,0.17,no_rotation
5,0.168,no_rotation
6,0.168,no_rotation
7,0.172,no_rotation
8,0.18,no_rotation
9,0.177,no_rotation
10,0.2,no_rotation
11,0.369,no_rotation
12,0.336,no_rotation
13,0.221,no_rotation
14,0.222,no_rotation
15,0.228,no_rotation
16,1.174,no_rotation
17,0.296,no_rotation
18,0.315,no_rotation
19,2.034,no_rotation
20,1.078,no_rotation
21,0.718,no_rotation
22,1.573,no_rotation
23,1.268,no_rotation
24,0.525,no_rotation
25,3.587,no_rotation
26,0.678,no_rotation
27,0.841,no_rotation
28,1.57,no_rotation
29,0.692,no_rotation
30,29.414,no_rotation
31,0.247,no_rotation
32,241.124,no_rotation
33,3.025,no_rotation
34,2.202,no_rotation
35,1.064,no_rotation
36,0.451,no_rotation
37,101.736,no_rotation
38,241.126,no_rotation
39,0.669,no_rotation
40,241.228,no_rotation
